title,description,image_url,category,tags,project_url,featured
"Modern E-commerce Platform","Full-stack e-commerce solution with React, Node.js, and Stripe integration. Features include product catalog, shopping cart, and admin dashboard.","https://images.unsplash.com/photo-1557821552-17105176677c?w=1200","web","e-commerce|react|nodejs|stripe","https://demo.ecommerce.com","true"
"Mobile Banking App UI","Beautiful and intuitive mobile banking application design with modern UI/UX principles and smooth animations.","https://images.unsplash.com/photo-1563986768609-322da13575f3?w=1200","design","mobile|banking|ui|figma","https://figma.com/banking-app","true"
"AI Chat Dashboard","Real-time AI chat application with OpenAI integration, featuring conversation history and analytics.","https://images.unsplash.com/photo-1587825140708-dfaf72ae4b04?w=1200","web","ai|chat|openai|dashboard","https://demo.aichat.com","true"
"Restaurant Website","Elegant restaurant website with online ordering system, menu management, and reservation booking.","https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?w=1200","web","restaurant|nextjs|online-order","https://demo.restaurant.com","false"
"Fitness Tracker App","Mobile fitness application with workout tracking, nutrition logging, and progress analytics.","https://images.unsplash.com/photo-1476480862126-209bfaa8edc8?w=1200","design","fitness|mobile|tracking|health","https://demo.fitness.com","false"
"Brand Identity Design","Complete brand identity package including logo, color palette, typography, and brand guidelines.","https://images.unsplash.com/photo-1561070791-2526d30994b5?w=1200","design","branding|logo|identity|design","https://behance.net/brand-identity","true"
"SaaS Analytics Platform","Comprehensive analytics dashboard for SaaS businesses with metrics, charts, and insights.","https://images.unsplash.com/photo-1551288049-bebda4e38f71?w=1200","web","saas|analytics|dashboard|charts","https://demo.analytics.com","false"
"Portfolio Website","Creative portfolio website showcasing projects with smooth animations and modern design.","https://images.unsplash.com/photo-1467232004584-a241de8bcf5d?w=1200","web","portfolio|creative|animation","https://demo.portfolio.com","false"
"Social Media App Design","Complete social media application design with feeds, stories, messaging, and profile management.","https://images.unsplash.com/photo-1611162617474-5b21e879e113?w=1200","design","social|mobile|app|ui","https://figma.com/social-app","true"
"Real Estate Platform","Property listing platform with search filters, virtual tours, and agent management system.","https://images.unsplash.com/photo-1560518883-ce09059eeffa?w=1200","web","realestate|property|listing","https://demo.realestate.com","false"
"Travel Booking Website","Modern travel booking platform with flight search, hotel reservations, and itinerary planning.","https://images.unsplash.com/photo-1488646953014-85cb44e25828?w=1200","web","travel|booking|tourism","https://demo.travel.com","false"
"Education LMS Platform","Learning management system with course creation, video hosting, and student progress tracking.","https://images.unsplash.com/photo-1501504905252-473c47e087f8?w=1200","web","education|lms|elearning","https://demo.lms.com","true"
"Crypto Trading Dashboard","Cryptocurrency trading platform with real-time charts, order management, and portfolio tracking.","https://images.unsplash.com/photo-1621761191319-c6fb62004040?w=1200","web","crypto|trading|blockchain","https://demo.crypto.com","false"
"Food Delivery App UI","Complete food delivery application design with restaurant browsing, cart, and order tracking.","https://images.unsplash.com/photo-1526367790999-0150786686a2?w=1200","design","food|delivery|mobile|ui","https://figma.com/food-delivery","true"
"Corporate Website","Professional corporate website with company information, services, and contact forms.","https://images.unsplash.com/photo-1497366216548-37526070297c?w=1200","web","corporate|business|website","https://demo.corporate.com","false"
"Music Streaming App","Music streaming application design with playlists, discovery, and social features.","https://images.unsplash.com/photo-1470225620780-dba8ba36b745?w=1200","design","music|streaming|app|ui","https://figma.com/music-app","false"
"Healthcare Portal","Patient management system with appointments, medical records, and telemedicine features.","https://images.unsplash.com/photo-1576091160399-112ba8d25d1d?w=1200","web","healthcare|medical|portal","https://demo.healthcare.com","true"
"Fashion E-commerce","Stylish fashion e-commerce website with product catalog, size guides, and wishlist features.","https://images.unsplash.com/photo-1441986300917-64674bd600d8?w=1200","web","fashion|ecommerce|shopping","https://demo.fashion.com","false"
"Project Management Tool","Kanban-style project management application with task tracking and team collaboration.","https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?w=1200","web","project|management|kanban","https://demo.project.com","false"
"Gaming Community Platform","Gaming community website with forums, tournaments, and player statistics.","https://images.unsplash.com/photo-1538481199705-c710c4e965fc?w=1200","web","gaming|community|esports","https://demo.gaming.com","false"
