title,slug,description,price,original_price,image_url,category,is_featured,features,tech_stack,demo_url,purchase_url,rating,sales_count
"Premium UI Kit Pro","premium-ui-kit-pro","Complete UI component library with 200+ components, dark mode support, and responsive design for modern web applications.","299000","499000","https://images.unsplash.com/photo-1558655146-d09347e92766?w=800","UI Kit","true","200+ components|Dark mode|Responsive|TypeScript|Documentation|Figma files","React|TypeScript|Tailwind CSS|Storybook","https://demo.uikit.com","https://gumroad.com/premium-ui-kit","4.9","1234"
"SaaS Dashboard Template","saas-dashboard-template","Professional dashboard template with analytics, charts, tables, and modern UI. Perfect for SaaS applications.","199000","349000","https://images.unsplash.com/photo-1460925895917-afdab827c52f?w=800","Template","true","Analytics dashboard|Chart.js integration|User management|API ready|Authentication|Dark theme","Next.js|TypeScript|Chart.js|Tailwind","https://demo.dashboard.com","https://gumroad.com/saas-dashboard","4.8","856"
"E-commerce Starter Kit","ecommerce-starter-kit","Full-featured e-commerce solution with cart, checkout, payment integration, and admin panel. Production ready.","399000","599000","https://images.unsplash.com/photo-1472851294608-062f824d29cc?w=800","E-commerce","true","Shopping cart|Payment gateway|Admin panel|Order management|Email notifications|SEO optimized","Next.js|Stripe|PostgreSQL|Prisma","https://demo.shop.com","https://gumroad.com/ecommerce-kit","5.0","567"
"Portfolio Website Template","portfolio-website-template","Stunning portfolio template for developers, designers, and creatives. Fully customizable and easy to deploy.","99000","199000","https://images.unsplash.com/photo-1467232004584-a241de8bcf5d?w=800","Template","false","Responsive design|Project showcase|Contact form|Blog section|SEO friendly|Fast loading","React|Gatsby|Tailwind CSS|Netlify","https://demo.portfolio.com","https://gumroad.com/portfolio-template","4.7","2341"
"Mobile App UI Design","mobile-app-ui-design","Beautiful mobile app UI design with 50+ screens for iOS and Android. Includes Figma source files.","149000","249000","https://images.unsplash.com/photo-1512941937669-90a1b58e7e9c?w=800","Design","true","50+ screens|Figma files|iOS & Android|Design system|Components|Prototypes","Figma|Adobe XD","https://demo.mobileui.com","https://gumroad.com/mobile-ui","4.9","445"
"Admin Dashboard Pro","admin-dashboard-pro","Modern admin dashboard with CRUD operations, user roles, and real-time updates. Built with latest technologies.","249000","399000","https://images.unsplash.com/photo-1551288049-bebda4e38f71?w=800","Dashboard","false","CRUD operations|Role-based access|Real-time updates|RESTful API|Dark mode|Responsive","Vue.js|Laravel|MySQL|Socket.io","https://demo.admin.com","https://gumroad.com/admin-dashboard","4.6","678"
"Landing Page Bundle","landing-page-bundle","Collection of 10 high-converting landing page templates for different industries. Ready to use.","179000","299000","https://images.unsplash.com/photo-1432888622747-4eb9a8f2c293?w=800","Template","true","10 templates|Conversion optimized|Mobile responsive|Easy customize|Fast loading|SEO ready","HTML|CSS|JavaScript|Bootstrap","https://demo.landing.com","https://gumroad.com/landing-bundle","4.8","1023"
"React Component Library","react-component-library","Professional React component library with hooks, TypeScript support, and comprehensive documentation.","199000","329000","https://images.unsplash.com/photo-1633356122544-f134324a6cee?w=800","UI Kit","false","100+ components|TypeScript|Hooks|Storybook|Unit tests|Documentation","React|TypeScript|Jest|Storybook","https://demo.components.com","https://gumroad.com/react-components","4.7","789"
"AI Chatbot Integration","ai-chatbot-integration","Ready-to-use AI chatbot with OpenAI integration, customizable responses, and analytics dashboard.","349000","549000","https://images.unsplash.com/photo-1531746790731-6c087fecd65a?w=800","AI Tool","true","OpenAI integration|Custom training|Analytics|Multi-language|Embeddable|Chat history","Python|OpenAI API|FastAPI|PostgreSQL","https://demo.chatbot.com","https://gumroad.com/ai-chatbot","5.0","234"
"Blog CMS Template","blog-cms-template","Modern blog CMS with markdown support, SEO optimization, and admin panel. Self-hosted solution.","149000","249000","https://images.unsplash.com/photo-1499750310107-5fef28a66643?w=800","CMS","false","Markdown editor|SEO optimized|Admin panel|Comments|Tags|RSS feed","Node.js|Express|MongoDB|React","https://demo.blog.com","https://gumroad.com/blog-cms","4.5","543"
