name,slug,description,icon,status,status_color,version,size,platform,features,download_count,rating,download_url,changelog,screenshots
"Rekty Code Editor","rekty-code-editor","Powerful code editor with syntax highlighting, IntelliSense, and Git integration. Built for developers.","https://images.unsplash.com/photo-1555066931-4365d14bab8c?w=200","Live","#10B981","2.5.0","125 MB","Desktop","{""Syntax highlighting"",""IntelliSense"",""Git integration"",""Extensions"",""Themes"",""Multi-language""}","15234","4.9","https://github.com/rekty/code-editor/releases","v2.5.0: Added new themes, Fixed bugs, Improved performance","{""https://via.placeholder.com/800x600"",""https://via.placeholder.com/800x600"",""https://via.placeholder.com/800x600""}"
"Task Manager Pro","task-manager-pro","Advanced task management app with kanban boards, reminders, and team collaboration features.","https://images.unsplash.com/photo-1484480974693-6ca0a78fb36b?w=200","Live","#10B981","1.8.2","45 MB","Desktop","{""Kanban boards"",""Reminders"",""Team sync"",""Calendar"",""Tags"",""Priority levels""}","8765","4.8","https://download.taskmanager.com","v1.8.2: Bug fixes, Performance improvements, New calendar view","{""https://via.placeholder.com/800x600"",""https://via.placeholder.com/800x600""}"
"Photo Editor Studio","photo-editor-studio","Professional photo editing software with filters, layers, and AI-powered enhancements.","https://images.unsplash.com/photo-1452587925148-ce544e77e70d?w=200","Live","#10B981","3.1.5","280 MB","Desktop","{""Filters"",""Layers"",""AI enhance"",""Batch edit"",""RAW support"",""Presets""}","23456","5.0","https://download.photoeditor.com","v3.1.5: New AI features, 50+ new filters, Bug fixes","{""https://via.placeholder.com/800x600"",""https://via.placeholder.com/800x600"",""https://via.placeholder.com/800x600""}"
"Video Converter Plus","video-converter-plus","Fast video converter supporting 100+ formats with batch processing and quality presets.","https://images.unsplash.com/photo-1574717024653-61fd2cf4d44d?w=200","Live","#10B981","4.0.1","95 MB","Desktop","{""100+ formats"",""Batch convert"",""Quality presets"",""Hardware acceleration"",""Trim & merge""}","12890","4.7","https://download.videoconverter.com","v4.0.1: Faster conversion, New formats, UI improvements","{""https://via.placeholder.com/800x600"",""https://via.placeholder.com/800x600""}"
"Markdown Note","markdown-note","Simple and elegant markdown note-taking app with sync and export capabilities.","https://images.unsplash.com/photo-1517842645767-c639042777db?w=200","Live","#10B981","1.5.0","35 MB","Desktop","{""Markdown editor"",""Cloud sync"",""Export PDF"",""Tags"",""Search"",""Dark mode""}","6543","4.6","https://download.markdownnote.com","v1.5.0: Added cloud sync, New themes, Bug fixes","{""https://via.placeholder.com/800x600"",""https://via.placeholder.com/800x600""}"
"Budget Tracker","budget-tracker","Personal finance manager with expense tracking, budgets, and financial reports.","https://images.unsplash.com/photo-1554224155-6726b3ff858f?w=200","Live","#10B981","2.3.4","55 MB","Desktop","{""Expense tracking"",""Budgets"",""Reports"",""Categories"",""Bank sync"",""Insights""}","9876","4.8","https://download.budgettracker.com","v2.3.4: New reports, Bank integration, Performance boost","{""https://via.placeholder.com/800x600"",""https://via.placeholder.com/800x600""}"
"Screen Recorder Pro","screen-recorder-pro","High-quality screen recorder with webcam overlay and audio mixing capabilities.","https://images.unsplash.com/photo-1633356122544-f134324a6cee?w=200","Live","#10B981","3.2.0","78 MB","Desktop","{""HD recording"",""Webcam overlay"",""Audio mix"",""Annotations"",""Trim & edit"",""Export MP4""}","11234","4.9","https://download.screenrecorder.com","v3.2.0: 4K support, New annotations, Bug fixes","{""https://via.placeholder.com/800x600"",""https://via.placeholder.com/800x600""}"
"Password Manager","password-manager","Secure password manager with encryption, auto-fill, and biometric authentication.","https://images.unsplash.com/photo-1614064641938-3bbee52942c7?w=200","Live","#10B981","2.1.8","42 MB","Desktop","{""AES-256 encryption"",""Auto-fill"",""Biometric"",""Password generator"",""Sync"",""Audit""}","14567","5.0","https://download.passwordmanager.com","v2.1.8: Enhanced security, Faster sync, New features","{""https://via.placeholder.com/800x600"",""https://via.placeholder.com/800x600""}"
"File Organizer","file-organizer","Automatic file organization tool with custom rules and batch renaming features.","https://images.unsplash.com/photo-1544396821-4dd40b938ad3?w=200","Live","#10B981","1.9.5","28 MB","Desktop","{""Auto organize"",""Custom rules"",""Batch rename"",""Duplicate finder"",""Schedule""}","7654","4.5","https://download.fileorganizer.com","v1.9.5: New rules engine, UI refresh, Bug fixes","{""https://via.placeholder.com/800x600"",""https://via.placeholder.com/800x600""}"
"VPN Shield","vpn-shield","Fast and secure VPN with global servers and no-log policy for privacy protection.","https://images.unsplash.com/photo-1563986768609-322da13575f3?w=200","Live","#10B981","5.0.2","67 MB","Desktop","{""Global servers"",""No logs"",""Kill switch"",""Fast speed"",""Ad blocker"",""Split tunnel""}","18765","4.8","https://download.vpnshield.com","v5.0.2: New servers, Faster speeds, Security updates","{""https://via.placeholder.com/800x600"",""https://via.placeholder.com/800x600""}"
